name,category,alternate_names
Cluster Beans (Gawar/Guar Beans),Vegetables,"gawar, गवार"
Drumstick (Moringa),Vegetables,"drumstick, सहजन"
Cauliflower,Vegetables,"gobhi, फूलगोभी"
Bottle Gourd,Vegetables,"lauki, लौकी"
Fenugreek Leaves (Methi),Vegetables,"methi, मेथी"
Coriander Leaves,Vegetables,"dhaniya, धनिया"
Onion,Vegetables,"pyaaz, प्याज़"
Agra Potato,Vegetables,"aloo, आलू"
West Bengal Hill Potato,Vegetables,"pahadi aloo, पहाड़ी आलू"
Sweet Corn,Vegetables,"bhutta, भुट्टा"
Green Capsicum,Vegetables,"shimla mirch, शिमला मिर्च"
Tomato,Vegetables,"tamatar, टमाटर"
Taro Root (Arbi/Colocasia),Vegetables,"arbi, अरबी"
Brinjal (Eggplant),Vegetables,"baingan, बैंगन"
Cucumber,Vegetables,"kheera, खीरा"
Large Green Chilli,Vegetables,"mirch, हरी मिर्च"
Fresh Ginger,Vegetables,"adrak, अदरक"
Old Ginger,Vegetables,"adrak, अदरक"
Green Chilli,Vegetables,"hari mirch, हरी मिर्च"
Green Chilli (Bag),Vegetables,"hari mirch, हरी मिर्च"
Pumpkin,Vegetables,"kaddu, कद्दू"
Cabbage,Vegetables,"patta gobhi, पत्ता गोभी"
Carrot,Vegetables,"gajar, गाजर"
Carrot (Loose),Vegetables,"gajar, गाजर"
Sponge Gourd (Galka),Vegetables,"galka, गलका"
Papaya,Fruits,"papita, पपीता"
Pointed Gourd (Parwal),Vegetables,"parwal, परवल"
Bitter Gourd (Bitter Melon),Vegetables,"karela, करेला"
Lemon,Fruits,"nimbu, नींबू"
Garlic,Vegetables,"lehsun, लहसुन"
Beetroot,Vegetables,"chukandar, चुकंदर"
Kakdi (Kheksi),Vegetables,"kheksi, खेकसी"
Raw Banana,Vegetables,"kela, केला"
Kundru (Ivy Gourd),Vegetables,"kundru, कुंदरू"
Singhi Brinjal (Singhi Bhata),Vegetables,"baingan, बैंगन"
Banana,Fruits,"kela, केला"
Naspati,Fruits,"naspati, नाशपाती"
Apple,Fruits,"seb, सेब"
Anar,Fruits,"anar, अनार"
Amrud,Fruits,"amrud, अमरूद"
Nariyal Pani (Bangalore),Fruits,"nariyal, नारियल"
Nariyal Pani (Kerala),Fruits,"nariyal, नारियल"
Papita,Fruits,"papita, पपीता"
Mango,Fruits,"aam, आम"
Aalu Bukhara,Fruits,"aloo bukhara, आलू बुखारा"
Bell Pepper (Shimla Mirch),Vegetables,"shimla mirch, शिमला मिर्च"
Bitter Gourd (Karela),Vegetables,"karela, करेला"
Black Yardlong Beans (Barbatti),Vegetables,"barbatti, बरबट्टी"
Bottle Gourd (Lauki),Vegetables,"lauki, लौकी"
Broad Beans (Sem/Seem),Vegetables,"sem, सेम"
Ginger,Vegetables,"adrak, अदरक"
Hill Potato (West Bengal),Vegetables,"aloo, आलू"
Ladyfinger (Okra/Bhindi),Vegetables,"bhindi, भिंडी"
Purple Brinjal (Eggplant),Vegetables,"baingan, बैंगन"
Radish,Vegetables,"mooli, मूली"
Red Amaranth (Lal Bhaji),Vegetables,"lal bhaji, लाल भाजी"
Round Gourd (Tinda),Vegetables,"tinda, टिंडा"
White Yardlong Beans (Barbatti),Vegetables,"barbatti, बरबट्टी"
Onion (Pyaj Bhaji),Vegetables,"pyaaz bhaji, प्याज़ भाजी"
Brinjal – Gulabi (Pink),Vegetables,"baingan, बैंगन"
Kheksi,Vegetables,"kheksi, खेकसी"
Asparagus imported,Vegetables,"asparagus, एस्पेरेगस"
Avocado imported,Fruits,"avocado, एवोकाडो"
Baby corn punnet,Vegetables,"baby corn, बेबी कॉर्न"
Broccoli with stem,Vegetables,"broccoli, ब्रोकली"
Chinese cabbage,Vegetables,"chinese patta gobhi, चाइनीज़ पत्ता गोभी"
Red cabbage,Vegetables,"lal patta gobhi, लाल पत्ता गोभी"
Red cap/yello A grade,Vegetables,"shimla mirch, शिमला मिर्च"
Celery,Vegetables,"celery, सेलेरी"
Cherry tomato,Vegetables,"cherry tamatar, चेरी टमाटर"
Thai ginger,Vegetables,"thai ginger, थाई अदरक"
Pilled garlic,Vegetables,"lehsun, लहसुन"
Basil,Vegetables,"tulsi, तुलसी"
Parsalay,Vegetables,"ajmod, अजमोद"
Rosemary,Vegetables,"rosemary, रोज़मेरी"
Thayme,Vegetables,"thyme, थाइम"
Kafir lime,Fruits,"kafir nimbu, काफिर नींबू"
Leek,Vegetables,"leek, लीक"
Lemon grass,Vegetables,"nimbu ghaas, नींबू घास"
Ice burg,Vegetables,"iceberg, आइसबर्ग"
Lettuce leafy,Vegetables,"salad patta, सलाद पत्ता"
Roman green,Vegetables,"romaine, रोमेन"
Lolorossa,Vegetables,"lolorossa, लोलोरोसा"
Mushroom,Vegetables,"mushroom, मशरूम"
Pokchoy,Vegetables,"pokchoy, पोकचॉय"
Zucchini green,Vegetables,"zucchini, ज़ुकिनी"
Zuccni yellow,Vegetables,"zucchini, ज़ुकिनी"
Thai chilly,Vegetables,"thai mirch, थाई मिर्च"
Edible flowers,Vegetables,"phool, फूल"
Micro green,Vegetables,"microgreen, माइक्रोग्रीन"
Chinese cucumber,Vegetables,"kheera, खीरा"
